Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
769,Rowdy Tellez*,28,MIL,NL,97,333,295,25,64,8,1,13,46,0,0,33,82,.217,.291,.383,.674,83,113,11,0,0,5,2,3DH,tellero01
770,José Tena*,22,CLE,AL,11,23,21,2,4,1,0,0,2,0,0,2,11,.190,.261,.238,.499,42,5,0,0,0,0,0,/6H54D,tenajo01
771,Matt Thaiss*,28,LAA,AL,95,307,262,32,56,6,0,9,31,2,0,36,83,.214,.319,.340,.659,80,89,4,6,0,3,1,2H/D3,thaisma01
772,Alek Thomas*,23,ARI,NL,113,355,330,47,78,15,4,9,35,9,1,17,79,.236,.278,.388,.665,80,128,4,3,2,3,1,*8H/D,thomaal01
773,Cody Thomas*,28,OAK,AL,19,46,42,1,10,3,0,1,2,0,0,4,17,.238,.304,.381,.685,94,16,1,0,0,0,0,9/HD7,thomaco01
774,Lane Thomas,27,WSN,NL,143,621,572,94,156,33,3,25,79,18,3,33,159,.273,.320,.472,.792,116,270,5,10,0,6,0,*98/HD1,thomala02
775,Bubba Thompson,25,TEX,AL,37,60,53,10,9,4,1,0,4,4,2,4,16,.170,.237,.283,.520,41,15,0,1,1,1,0,7H/9D8,thompbu01
776,Trayce Thompson,32,TOT,MLB,59,140,121,16,19,1,0,6,16,1,0,18,61,.157,.271,.314,.585,59,38,1,1,0,0,0,8H79/D,thomptr01
777,Trayce Thompson,32,LAD,NL,36,87,71,12,11,0,0,5,14,0,0,15,37,.155,.310,.366,.677,82,26,0,1,0,0,0,8H7/9D,thomptr01
778,Trayce Thompson,32,CHW,AL,23,53,50,4,8,1,0,1,2,1,0,3,24,.160,.208,.240,.448,22,12,1,0,0,0,0,/89H7,thomptr01
779,Michael Toglia#,24,COL,NL,45,152,141,18,23,5,0,4,9,1,1,10,50,.163,.224,.284,.507,31,40,3,1,0,0,0,39/HD7,toglimi01
780,Justin Topa,32,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,topaju01
781,Spencer Torkelson,23,DET,AL,146,627,554,82,130,32,1,28,83,3,0,64,154,.235,.317,.448,.765,107,248,13,5,0,4,1,*3/D,torkesp01
782,Abraham Toro#,26,MIL,NL,9,21,18,4,8,0,0,2,9,0,0,2,5,.444,.524,.778,1.302,250,14,0,1,0,0,0,/5H3D,toroab01
783,Luis Torrens,27,TOT,MLB,14,23,21,1,6,2,0,0,3,0,0,1,8,.286,.348,.381,.729,98,8,0,1,0,0,0,/DH27,torrelu01
784,Luis Torrens,27,CHC,NL,13,22,20,1,5,1,0,0,3,0,0,1,8,.250,.318,.300,.618,69,6,0,1,0,0,0,/DH27,torrelu01
785,Luis Torrens,27,SEA,AL,1,1,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,713,2,0,0,0,0,0,/DH,torrelu01
786,Gleyber Torres,26,NYY,AL,146,621,551,84,150,26,2,25,65,13,6,61,90,.272,.345,.463,.807,119,255,18,3,0,6,0,*4D/H,torregl01
787,Ezequiel Tovar,21,COL,NL,140,560,528,74,136,33,4,15,71,11,5,23,149,.258,.292,.420,.713,82,222,9,4,2,3,0,*6,tovarez01
788,Taylor Trammell*,25,SEA,AL,22,56,46,7,6,0,0,3,11,0,1,9,22,.130,.286,.326,.612,72,15,2,1,0,0,0,7/DH8,trammta01
789,Alan Trejo,27,COL,NL,76,205,189,20,42,11,0,3,22,5,0,12,50,.222,.270,.328,.598,55,62,3,1,1,2,0,45H/61D,trejoal01
790,Jose Trevino,30,NYY,AL,55,168,157,15,33,4,0,4,15,0,0,8,22,.210,.257,.312,.570,55,49,6,2,1,0,0,2/H,trevijo01
791,Jared Triolo,25,PIT,NL,41,154,136,17,34,2,0,1,16,4,1,14,48,.250,.331,.287,.618,71,39,0,3,0,1,0,5/4H3D,triolja01
792,Chadwick Tromp,28,ATL,NL,6,16,16,1,2,1,0,0,1,0,0,0,7,.125,.125,.188,.313,-18,3,0,0,0,0,0,/2,trompch01
793,Mike Trout,31,LAA,AL,82,362,308,54,81,14,1,18,44,2,0,45,104,.263,.367,.490,.858,130,151,4,7,0,2,2,8/DH,troutmi01
794,Cole Tucker#,26,COL,NL,5,10,8,2,4,0,0,0,2,0,0,1,2,.500,.600,.500,1.100,192,4,0,1,0,0,0,/H8D9,tuckeco01
795,Kyle Tucker*,26,HOU,AL,145,622,530,87,150,32,2,27,105,28,5,74,83,.283,.369,.504,.872,139,267,11,3,0,9,7,*9/DH,tuckeky01
796,Brice Turang*,23,MIL,NL,124,417,376,41,83,9,3,6,33,22,4,36,90,.221,.289,.309,.598,64,116,7,1,2,2,1,*46H/D,turanbr02
797,Justin Turner,38,BOS,AL,135,584,519,84,147,30,0,23,94,4,0,49,97,.283,.353,.474,.827,120,246,10,10,0,6,0,D34/5H,turneju01
798,Trea Turner,30,PHI,NL,144,643,597,96,161,32,5,26,75,27,0,41,145,.270,.320,.471,.791,113,281,10,4,0,1,2,*6/D,turnetr01
799,Luis Urías,26,TOT,MLB,49,166,136,16,25,6,0,3,17,0,0,19,39,.184,.323,.294,.617,70,40,4,9,0,0,0,45/H,uriaslu01
800,Luis Urías,26,MIL,NL,20,68,55,5,8,2,0,1,5,0,0,7,15,.145,.299,.236,.535,50,13,1,5,0,0,0,45/H,uriaslu01
801,Luis Urías,26,BOS,AL,29,98,81,11,17,4,0,2,12,0,0,12,24,.210,.340,.333,.674,83,27,3,4,0,0,0,4/5H,uriaslu01
802,Ramón Urías,29,BAL,AL,106,374,339,43,91,22,2,4,42,3,1,26,92,.268,.334,.381,.715,100,129,9,8,0,1,0,543H/D,uriasra01
803,Gio Urshela,31,LAA,AL,62,228,214,22,64,8,1,2,24,3,2,10,36,.299,.329,.374,.703,91,80,9,1,0,3,0,53/6H4,urshegi01
804,Enmanuel Valdez*,24,BOS,AL,41,127,118,14,29,5,0,5,15,4,1,7,32,.246,.294,.415,.709,88,49,3,1,0,0,0,4/H6,valdeen01
805,Ildemaro Vargas#,31,WSN,NL,77,252,232,28,59,12,1,4,29,1,1,16,16,.254,.304,.366,.670,85,85,10,1,2,1,0,54H67/19,vargail01
806,Miguel Vargas,23,LAD,NL,81,304,256,36,50,15,4,7,32,3,2,38,61,.195,.305,.367,.672,81,94,1,4,1,4,1,4H/3D,vargami01
807,Daulton Varsho*,26,TOR,AL,147,537,485,59,106,22,2,16,52,15,7,43,126,.219,.286,.371,.657,81,180,5,4,1,3,0,*78/HD,varshda01
808,Andrew Vaughn,25,CHW,AL,139,563,518,64,135,28,2,20,75,0,0,32,114,.261,.316,.438,.754,103,227,14,11,0,2,0,*3/DH,vaughan01
809,Terrin Vavra*,26,BAL,AL,27,56,49,9,12,0,0,0,5,1,0,5,12,.245,.315,.245,.560,60,12,5,0,2,0,0,9/7HD54,vavrate01
810,Christian Vázquez,32,MIN,AL,94,324,298,31,64,11,0,6,28,0,0,23,74,.215,.272,.312,.585,61,93,10,1,1,1,1,2/3H4,vazquch01
811,Andrew Velazquez#,28,LAA,AL,54,94,81,12,14,3,0,2,3,13,3,10,30,.173,.264,.284,.548,49,23,1,0,3,0,0,6H4/8,velazan01
812,Nelson Velázquez,24,TOT,MLB,42,133,120,26,29,5,0,13,26,0,0,11,37,.242,.308,.608,.917,142,73,3,1,0,1,0,9D/H78,velazne01
813,Nelson Velázquez,24,CHC,NL,13,32,29,8,7,2,0,3,6,0,0,3,8,.241,.313,.621,.933,144,18,1,0,0,0,0,/DH987,velazne01
814,Nelson Velázquez,24,KCR,AL,29,101,91,18,22,3,0,10,20,0,0,8,29,.242,.307,.604,.911,142,55,2,1,0,1,0,9D/7H,velazne01
815,Alex Verdugo*,27,BOS,AL,131,570,517,79,139,36,5,13,54,4,3,42,86,.269,.328,.433,.761,103,224,9,6,0,5,1,*9/H,verdual01
816,Alex Vesia*,27,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,vesiaal01
817,Mark Vientos,23,NYM,NL,52,183,170,13,35,5,1,5,15,0,0,8,57,.206,.251,.335,.587,61,57,4,3,0,2,0,D5/3H,vientma01
818,Matt Vierling,26,DET,AL,120,470,426,53,112,16,3,9,38,6,6,37,100,.263,.328,.378,.706,94,161,8,5,1,1,1,*9785H/4,vierlma01
819,David Villar,26,SFG,NL,46,140,124,15,18,6,0,5,12,1,1,11,45,.145,.236,.315,.550,50,39,1,4,0,1,0,45/3HD1,villada01
820,Meibrys Viloria*,26,CLE,AL,10,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,-20,0,1,0,0,0,0,2,vilorme01
821,Daniel Vogelbach*,30,NYM,NL,102,317,273,33,63,7,0,13,45,0,0,42,81,.231,.338,.399,.737,104,109,6,2,0,0,1,DH,vogelda01
822,Luke Voit,32,MIL,NL,22,74,68,5,15,3,0,0,4,2,0,4,27,.221,.284,.265,.548,52,18,3,2,0,0,0,3D/H,voitlu01
823,Anthony Volpe,22,NYY,AL,147,556,498,60,105,20,4,20,59,24,5,50,152,.211,.288,.388,.676,83,193,9,5,1,2,0,*6/H,volpean01
824,Jason Vosler*,29,CIN,NL,20,65,62,6,10,2,1,3,10,0,0,3,25,.161,.200,.371,.571,49,23,0,0,0,0,0,3/51H,vosleja01
825,Joey Votto*,39,CIN,NL,55,212,184,23,36,5,0,14,35,0,0,23,56,.196,.302,.451,.753,98,83,2,5,0,0,0,3D/H,vottojo01
826,LaMonte Wade Jr.*,29,SFG,NL,125,483,400,59,105,14,1,15,41,2,0,72,91,.263,.379,.415,.794,120,166,4,5,3,3,2,*3H7/9D8,wadela01
827,Tyler Wade*,28,OAK,AL,26,55,51,8,13,1,1,0,2,4,0,4,13,.255,.309,.314,.623,79,16,0,0,0,0,0,6/H759D,wadety01
828,Christian Walker,32,ARI,NL,146,614,540,78,141,35,1,30,92,9,0,59,119,.261,.338,.496,.834,125,268,10,7,0,7,3,*3/DH,walkech02
